Candidate,Gender,Race,State,DistrictNo,District,Party,ICO,PrimaryResults,PrimaryStatus,RunoffResults,RunoffStatus,GeneralResults,RankedChoiceResults,GeneralStatus,PVI,Clinton2016,Trump2016,WFD,MoneyRaised,MoneySpent,ElectedOffice
Bryan Witt,Male,White,CA,27,CA-27,Democrat,Challenger,16.5,1,,,20.8,,0,16,66,28.4,0.348592365,11127,10477,No
Adam B. Schiff,Male,White,CA,28,CA-28,Democrat,Incumbent,73.5,1,,,78.4,,1,23,72.1,22.3,0.413991726,6159117,3579758,Yes
Sal Genovese,Male,,CA,28,CA-28,Democrat,Challenger,5.8,0,,,,,,23,72.1,22.3,0.413991726,2500,2500,No
Johnny J. Nalbandian,Male,White,CA,28,CA-28,Republican,Challenger,20.7,1,,,21.6,,0,23,72.1,22.3,0.413991726,36370,35720,No
Tony Cardenas,Male,Non-white,CA,29,CA-29,Democrat,Incumbent,66.7,1,,,80.6,,1,29,77.7,16.8,0.439475804,1480423,1361837,Yes
"Joseph ""Joe"" Shammas",Male,White,CA,29,CA-29,Democrat,Challenger,8.1,0,,,,,,29,77.7,16.8,0.439475804,2500,2500,No
Benito Benny Bernal,Male,Non-white,CA,29,CA-29,Republican,Challenger,17.4,1,,,19.4,,0,29,77.7,16.8,0.439475804,5728,5776,No
Angelica Maria Dueñas,Female,Non-white,CA,29,CA-29,Third Party,Challenger,6.4,0,,,,,,29,77.7,16.8,0.439475804,7468,7482,No
Juan Rey,Male,Non-white,CA,29,CA-29,Third Party,Challenger,1.4,0,,,,,,29,77.7,16.8,0.439475804,2500,2500,No
Raji Rab,Male,Non-white,CA,30,CA-30,Democrat,Challenger,5.3,0,,,,,,18,69.1,25.7,0.370717025,89950,87427,No
Brad Sherman,Male,White,CA,30,CA-30,Democrat,Incumbent,62.3,1,,,73.4,,1,18,69.1,25.7,0.370717025,1390198,543799,Yes
Jon Pelzer,Male,White,CA,30,CA-30,Democrat,Challenger,5.2,0,,,,,,18,69.1,25.7,0.370717025,73446,73446,No
Mark S. Reed,Male,Non-white,CA,30,CA-30,Republican,Challenger,27.3,1,,,41.3,,0,18,69.1,25.7,0.370717025,1367427,524512,No
Kaisar Ahmed,Male,Non-white,CA,31,CA-31,Democrat,Challenger,9,0,,,,,,8,57.7,36.6,0.274323739,2500,2500,No
Pete Aguilar,Male,Non-white,CA,31,CA-31,Democrat,Incumbent,45.9,1,,,58.7,,1,8,57.7,36.6,0.274323739,2693322,2356618,Yes
Sean Flynn,Male,Non-white,CA,31,CA-31,Republican,Challenger,45.1,1,,,41.3,,0,8,57.7,36.6,0.274323739,1079964,1103586,No
Grace Flores Napolitano,Female,Non-white,CA,32,CA-32,Democrat,Incumbent,99.9,1,,,68.8,,1,17,66.6,27.7,0.357174084,409148,245488,Yes
Joshua M. Scott,Male,,CA,32,CA-32,Republican,Challenger,0.1,1,,,31.2,,0,17,66.6,27.7,0.357174084,6274,5445,No
Ted W. Lieu,Male,Non-white,CA,33,CA-33,Democrat,Incumbent,61.7,1,,,70,,1,16,67.8,26.5,0.330234413,1747572,935105,Yes
Emory P. Rodgers,Male,White,CA,33,CA-33,Democrat,Challenger,8.2,0,,,,,,16,67.8,26.5,0.330234413,2500,2500,No
Kenneth Weston Wright,Male,White,CA,33,CA-33,Republican,Challenger,30.1,1,,,30,,0,16,67.8,26.5,0.330234413,162636,157958,No
Jimmy Gomez,Male,Non-white,CA,34,CA-34,Democrat,Incumbent,78.7,1,,,72.5,,1,35,83.6,10.7,0.493304268,1551477,1420713,Yes
Kenneth Mejia,Male,Non-white,CA,34,CA-34,Third Party,Challenger,12.9,1,,,27.5,,0,35,83.6,10.7,0.493304268,145374,120166,No
Angela Elise McArdle,Female,White,CA,34,CA-34,Third Party,Challenger,8.4,0,,,,,,35,83.6,10.7,0.493304268,6713,2327,No
Norma J. Torres,Female,Non-white,CA,35,CA-35,Democrat,Incumbent,51.2,1,,,69.4,,1,19,67.7,26.9,0.327843964,618708,594129,Yes
Joe Baca,Male,Non-white,CA,35,CA-35,Democrat,Challenger,14.8,0,,,,,,19,67.7,26.9,0.327843964,45793,37037,Yes
Christian Leonel Valiente,Male,Non-white,CA,35,CA-35,Republican,Challenger,34,1,,,30.6,,0,19,67.7,26.9,0.327843964,2500,2500,No
Raul Ruiz,Male,Non-white,CA,36,CA-36,Democrat,Incumbent,55,1,,,59,,1,2,52.2,43.4,0.232053681,3104959,2372173,Yes
Dan Ball,Male,White,CA,36,CA-36,Republican,Challenger,7.8,0,,,,,,2,52.2,43.4,0.232053681,19009,17057,No
Douglas Hassett,Male,White,CA,36,CA-36,Republican,Challenger,5,0,,,,,,2,52.2,43.4,0.232053681,13037,12959,No
Kimberlin Brown Pelzer,Female,White,CA,36,CA-36,Republican,Challenger,23.2,1,,,41,,0,2,52.2,43.4,0.232053681,839395,820634,No
Stephan J. Wolkowicz,Male,White,CA,36,CA-36,Republican,Challenger,4.7,0,,,,,,2,52.2,43.4,0.232053681,10425,10425,No
Robert Bentley,Male,,CA,36,CA-36,Republican,Challenger,4.2,0,,,,,,2,52.2,43.4,0.232053681,2500,2500,No
Karen Bass,Female,Non-white,CA,37,CA-37,Democrat,Incumbent,89.2,1,,,89.1,,1,37,85.7,9.6,0.470822387,882342,780642,Yes
Ron J. Bassilian,Male,White,CA,37,CA-37,Republican,Challenger,10.8,1,,,10.9,,0,37,85.7,9.6,0.470822387,10388,9878,No
Linda T. Sánchez,Female,Non-white,CA,38,CA-38,Democrat,Incumbent,62.7,1,,,68.9,,1,17,67,27.4,0.350363219,1703096,1343254,Yes
Ryan Downing,Male,Non-white,CA,38,CA-38,Republican,Challenger,37.3,1,,,31.1,,0,17,67,27.4,0.350363219,2500,2500,No
Herbert H. Lee,Male,Non-white,CA,39,CA-39,Democrat,Open,4.2,0,,,,,,0,51.5,42.9,0.301707551,1057942,1057258,No
Mai Khanh Tran,Female,Non-white,CA,39,CA-39,Democrat,Open,5.3,0,,,,,,0,51.5,42.9,0.301707551,1368275,1368275,No
Suzi Park Leggett,Female,Non-white,CA,39,CA-39,Democrat,Open,1.5,0,,,,,,0,51.5,42.9,0.301707551,38100,38100,No
Gil Cisneros,Male,Non-white,CA,39,CA-39,Democrat,Open,19.4,1,,,51.6,,1,0,51.5,42.9,0.301707551,12071412,11992692,No
Andy Thorburn,Male,White,CA,39,CA-39,Democrat,Open,9.2,0,,,,,,0,51.5,42.9,0.301707551,3099307,3099307,No
Sam Jammal,Male,White,CA,39,CA-39,Democrat,Open,5.4,0,,,,,,0,51.5,42.9,0.301707551,557355,550065,No
Young Kim,Female,Non-white,CA,39,CA-39,Republican,Open,21.2,1,,,48.4,,0,0,51.5,42.9,0.301707551,2889855,2860543,Yes
Steven C. Vargas,Male,Non-white,CA,39,CA-39,Republican,Open,2.9,0,,,,,,0,51.5,42.9,0.301707551,23325,23265,No
Andrew Sarega,Male,White,CA,39,CA-39,Republican,Open,0.6,0,,,,,,0,51.5,42.9,0.301707551,35835,35835,No
Bob Huff,Male,White,CA,39,CA-39,Republican,Open,6.2,0,,,,,,0,51.5,42.9,0.301707551,550141,550141,Yes
John J. Cullum,Male,White,CA,39,CA-39,Republican,Open,1.2,0,,,,,,0,51.5,42.9,0.301707551,14335,14335,No
Phil Liberatore,Male,White,CA,39,CA-39,Republican,Open,14.3,0,,,,,,0,51.5,42.9,0.301707551,249972,224327,No
Shawn Nelson,Male,White,CA,39,CA-39,Republican,Open,6.9,0,,,,,,0,51.5,42.9,0.301707551,621514,612509,No
Ted M. Alemayhu,Male,Non-white,CA,39,CA-39,Third Party,Open,0.1,0,,,,,,0,51.5,42.9,0.301707551,2500,2500,No
Sophia J. Alexander,Female,White,CA,39,CA-39,Third Party,Open,0.4,0,,,,,,0,51.5,42.9,0.301707551,2500,2500,No
Karen Lee Schatzle,Female,Non-white,CA,39,CA-39,Third Party,Open,0.6,0,,,,,,0,51.5,42.9,0.301707551,2500,2500,No
Steve Cox,Male,White,CA,39,CA-39,Third Party,Open,0.6,0,,,,,,0,51.5,42.9,0.301707551,6027,5964,No
Lucille Roybal-Allard,Female,Non-white,CA,40,CA-40,Democrat,Incumbent,80.3,1,,,77.3,,1,33,82.2,12.8,0.418305397,533112,528754,Yes
Rodolfo Cortes Barragan,Male,Non-white,CA,40,CA-40,Third Party,Challenger,19.7,1,,,22.7,,0,33,82.2,12.8,0.418305397,18313,18321,No
Mark Takano,Male,Non-white,CA,41,CA-41,Democrat,Incumbent,58.5,1,,,65.1,,1,12,61,33.1,0.28835472,1059141,1052783,Yes
Aja Smith,Female,Non-white,CA,41,CA-41,Republican,Challenger,41.5,1,,,34.9,,0,12,61,33.1,0.28835472,42660,41255,No
Norman Quintero,Male,Non-white,CA,42,CA-42,Democrat,Challenger,8.2,0,,,,,,-9,41.4,53.4,0.193593754,136211,136211,No
Julia C Peacock,Female,White,CA,42,CA-42,Democrat,Challenger,26.1,1,,,43.5,,0,-9,41.4,53.4,0.193593754,157935,147714,No
Ken Calvert,Male,White,CA,42,CA-42,Republican,Incumbent,60.8,1,,,56.5,,1,-9,41.4,53.4,0.193593754,1539568,1551261,Yes
Matt Woody,Male,White,CA,42,CA-42,Third Party,Challenger,4.8,0,,,,,,-9,41.4,53.4,0.193593754,43461,41346,No
Maxine Waters,Female,Non-white,CA,43,CA-43,Democrat,Incumbent,72.3,1,,,77.7,,1,29,78.4,16.7,0.387552797,1584258,1314549,Yes
Edwin P. Duterte,Male,Non-white,CA,43,CA-43,Republican,Challenger,4.2,0,,,,,,29,78.4,16.7,0.387552797,15914,15914,No
Omar Navarro,Male,Non-white,CA,43,CA-43,Republican,Challenger,14.2,1,,,22.3,,0,29,78.4,16.7,0.387552797,1127611,985882,No
Frank T. DeMartini,Male,White,CA,43,CA-43,Republican,Challenger,7,0,,,,,,29,78.4,16.7,0.387552797,32857,32857,No
Miguel Angel Zuniga,Male,Non-white,CA,43,CA-43,Third Party,Challenger,2.3,0,,,,,,29,78.4,16.7,0.387552797,2500,2500,No
Aja L. Brown,Female,Non-white,CA,44,CA-44,Democrat,Challenger,17,1,,,31.7,,0,35,83,12.3,0.38940362,18679,17820,No
Nanette Diaz Barragán,Female,Non-white,CA,44,CA-44,Democrat,Incumbent,65.5,1,,,68.3,,1,35,83,12.3,0.38940362,1534296,941811,Yes
Stacey Dash,Female,Non-white,CA,44,CA-44,Republican,Challenger,7.2,0,,,,,,35,83,12.3,0.38940362,44234,44234,No
Jazmina Saavedra,Female,Non-white,CA,44,CA-44,Republican,Challenger,10.2,0,,,,,,35,83,12.3,0.38940362,2500,2500,No
Dave Min,Male,Non-white,CA,45,CA-45,Democrat,Challenger,17.8,0,,,,,,-3,49.8,44.4,0.263841693,1111663,1111663,No
Katie Porter,Female,White,CA,45,CA-45,Democrat,Challenger,20.3,1,,,52.1,,1,-3,49.8,44.4,0.263841693,6860756,6690463,No
Brian Forde,Male,White,CA,45,CA-45,Democrat,Challenger,6,0,,,,,,-3,49.8,44.4,0.263841693,1585888,1354944,No
Kia Hamadanchy,Male,White,CA,45,CA-45,Democrat,Challenger,1.9,0,,,,,,-3,49.8,44.4,0.263841693,609982,609982,No
Mimi Walters,Female,White,CA,45,CA-45,Republican,Incumbent,51.7,1,,,47.9,,0,-3,49.8,44.4,0.263841693,4895283,5134711,Yes
John Graham,Male,White,CA,45,CA-45,Third Party,Challenger,2.3,0,,,,,,-3,49.8,44.4,0.263841693,41542,36310,No
Lou Correa,Male,Non-white,CA,46,CA-46,Democrat,Incumbent,62.2,1,,,69.1,,1,15,66.3,27.9,0.365514841,1117516,466281,Yes
Russell Rene Lambert,Male,White,CA,46,CA-46,Republican,Challenger,32.4,1,,,30.9,,0,15,66.3,27.9,0.365514841,2500,2500,No
Ed Rushman,Male,White,CA,46,CA-46,Third Party,Challenger,3.3,0,,,,,,15,66.3,27.9,0.365514841,2500,2500,No
Will Johnson,Male,,CA,46,CA-46,Third Party,Challenger,2,0,,,,,,15,66.3,27.9,0.365514841,2500,2500,No
Alan Lowenthal,Male,White,CA,47,CA-47,Democrat,Incumbent,60.6,1,,,64.9,,1,13,62.6,31,0.31083474,701022,602779,Yes
David Michael Clifford,Male,White,CA,47,CA-47,Republican,Challenger,17.8,0,,,,,,13,62.6,31,0.31083474,25369,20726,No
John Briscoe,Male,White,CA,47,CA-47,Republican,Challenger,21.6,1,,,35.1,,0,13,62.6,31,0.31083474,54714,46928,Yes
Omar A. Siddiqui,Male,Non-white,CA,48,CA-48,Democrat,Challenger,5,0,,,,,,-4,47.9,46.2,0.270584092,414674,414674,No
Harley Rouda,Male,White,CA,48,CA-48,Democrat,Challenger,17.3,1,,,53.6,,1,-4,47.9,46.2,0.270584092,7978148,7565789,No
Hans Keirstead,Male,White,CA,48,CA-48,Democrat,Challenger,17.2,0,,,,,,-4,47.9,46.2,0.270584092,2153319,1878286,No
Laura Oatman,Female,White,CA,48,CA-48,Democrat,Challenger,1.4,0,,,,,,-4,47.9,46.2,0.270584092,215404,199889,No
Michael Kotick,Male,White,CA,48,CA-48,Democrat,Challenger,1.5,0,,,,,,-4,47.9,46.2,0.270584092,487703,484700,No
Rachel Payne,Female,White,CA,48,CA-48,Democrat,Challenger,2.1,0,,,,,,-4,47.9,46.2,0.270584092,296300,222154,No
Tony Zarkades,Male,White,CA,48,CA-48,Democrat,Challenger,0.7,0,,,,,,-4,47.9,46.2,0.270584092,2500,2500,No
Deanie Schaarsmith,Female,,CA,48,CA-48,Democrat,Challenger,0.8,0,,,,,,-4,47.9,46.2,0.270584092,2500,2500,No
Paul Martin,Male,Non-white,CA,48,CA-48,Republican,Challenger,1.7,0,,,,,,-4,47.9,46.2,0.270584092,2500,2500,No
Dana Rohrabacher,Male,White,CA,48,CA-48,Republican,Incumbent,30.3,1,,,46.4,,0,-4,47.9,46.2,0.270584092,2749119,2906412,Yes
John Gabbard,Male,White,CA,48,CA-48,Republican,Challenger,3.3,0,,,,,,-4,47.9,46.2,0.270584092,54478,54478,No
Scott Baugh,Male,White,CA,48,CA-48,Republican,Challenger,15.8,0,,,,,,-4,47.9,46.2,0.270584092,447698,995666,No
Shastina Sandman,Female,White,CA,48,CA-48,Republican,Challenger,1.6,0,,,,,,-4,47.9,46.2,0.270584092,2500,2500,No
Stelian Onufrei,Male,White,CA,48,CA-48,Republican,Challenger,0.4,0,,,,,,-4,47.9,46.2,0.270584092,349720,349720,No
Brandon Reiser,Male,White,CA,48,CA-48,Third Party,Challenger,0.6,0,,,,,,-4,47.9,46.2,0.270584092,11381,11381,No
Kevin Kensinger,Male,White,CA,48,CA-48,Third Party,Challenger,0.4,0,,,,,,-4,47.9,46.2,0.270584092,13441,13441,No
Mike Levin,Male,White,CA,49,CA-49,Democrat,Open,17.5,1,,,56.4,,1,-1,50.7,43.2,0.226137085,5960200,5159416,No
Doug Applegate,Male,White,CA,49,CA-49,Democrat,Open,13.1,0,,,,,,-1,50.7,43.2,0.226137085,945572,1006091,No
Paul G. Kerr,Male,White,CA,49,CA-49,Democrat,Open,4.4,0,,,,,,-1,50.7,43.2,0.226137085,6022904,5829216,No
Sara Jacobs,Female,White,CA,49,CA-49,Democrat,Open,15.8,0,,,,,,-1,50.7,43.2,0.226137085,2874687,2714218,No
Rocky J. Chávez,Male,Non-white,CA,49,CA-49,Republican,Open,7.5,0,,,,,,-1,50.7,43.2,0.226137085,295667,295667,Yes
Brian Maryott,Male,White,CA,49,CA-49,Republican,Open,3,0,,,,,,-1,50.7,43.2,0.226137085,749528,739728,No
Craig A. Nordal,Male,White,CA,49,CA-49,Republican,Open,0.6,0,,,,,,-1,50.7,43.2,0.226137085,10430,10529,No
Diane L. Harkey,Female,White,CA,49,CA-49,Republican,Open,25.5,1,,,43.6,,0,-1,50.7,43.2,0.226137085,1611828,1607112,Yes
Joshua Schoonover,Male,White,CA,49,CA-49,Republican,Open,0.7,0,,,,,,-1,50.7,43.2,0.226137085,12322,12322,No
Kristin Gaspar,Female,White,CA,49,CA-49,Republican,Open,8.5,0,,,,,,-1,50.7,43.2,0.226137085,341552,337342,Yes
Mike Schmitt,Male,White,CA,49,CA-49,Republican,Open,1.3,0,,,,,,-1,50.7,43.2,0.226137085,7960,7811,No
David Medway,Male,,CA,49,CA-49,Republican,Open,0.6,0,,,,,,-1,50.7,43.2,0.226137085,2500,2500,No
Danielle St. John,Female,White,CA,49,CA-49,Third Party,Open,0.4,0,,,,,,-1,50.7,43.2,0.226137085,2500,2500,No
Joshua L. Hancock,Male,White,CA,49,CA-49,Third Party,Open,0.3,0,,,,,,-1,50.7,43.2,0.226137085,2500,2500,No
Robert Pendleton,Male,White,CA,49,CA-49,Third Party,Open,0.5,0,,,,,,-1,50.7,43.2,0.226137085,26509,24688,No
Jordan P. Mills,Male,White,CA,49,CA-49,Third Party,Open,0.1,0,,,,,,-1,50.7,43.2,0.226137085,2500,2500,No
Ammar Campa-Najjar,Male,Non-white,CA,50,CA-50,Democrat,Challenger,17.6,1,,,48.3,,0,-11,39.6,54.6,0.177787262,4006983,3991296,No
Josh Butner,Male,White,CA,50,CA-50,Democrat,Challenger,12.9,0,,,,,,-11,39.6,54.6,0.177787262,660203,660203,No
Patrick Malloy,Male,White,CA,50,CA-50,Democrat,Challenger,5.9,0,,,,,,-11,39.6,54.6,0.177787262,2500,2500,No
"S. ""Shamus"" Sayed",Male,Non-white,CA,50,CA-50,Republican,Challenger,2.1,0,,,,,,-11,39.6,54.6,0.177787262,235345,236035,No
Duncan Hunter,Male,White,CA,50,CA-50,Republican,Incumbent,47.4,1,,,51.7,,1,-11,39.6,54.6,0.177787262,1169496,1688931,Yes
Bill Wells,Male,White,CA,50,CA-50,Republican,Challenger,12.9,0,,,,,,-11,39.6,54.6,0.177787262,57145,49711,No
Richard Kahle,Male,,CA,50,CA-50,Third Party,Challenger,1.2,0,,,,,,-11,39.6,54.6,0.177787262,19132,19132,No
Juan Vargas,Male,Non-white,CA,51,CA-51,Democrat,Incumbent,64,1,,,71.2,,1,22,71.8,22.8,0.324712408,874890,784216,Yes
John R. Renison Jr.,Male,Non-white,CA,51,CA-51,Republican,Challenger,14,0,,,,,,22,71.8,22.8,0.324712408,52536,52840,No
Juan M. Hidalgo Jr.,Male,Non-white,CA,51,CA-51,Republican,Challenger,15.3,1,,,28.8,,0,22,71.8,22.8,0.324712408,68537,65424,No
Louis A. Fuentes,Male,Non-white,CA,51,CA-51,Republican,Challenger,1.7,0,,,,,,22,71.8,22.8,0.324712408,2500,2500,No
"Juan Carlos ""Charlie"" Mercado",Male,Non-white,CA,51,CA-51,Third Party,Challenger,3.1,0,,,,,,22,71.8,22.8,0.324712408,18006,17762,No
Kevin Mitchell,Male,,CA,51,CA-51,Third Party,Challenger,1.9,0,,,,,,22,71.8,22.8,0.324712408,2500,2500,No
Scott Peters,Male,White,CA,52,CA-52,Democrat,Incumbent,59,1,,,63.8,,1,6,58.1,35.6,0.285472208,2692724,1893542,Yes
Danny Casara,Male,Non-white,CA,52,CA-52,Republican,Challenger,4.6,0,,,,,,6,58.1,35.6,0.285472208,30041,30041,No
James Veltmeyer,Male,Non-white,CA,52,CA-52,Republican,Challenger,11.4,0,,,,,,6,58.1,35.6,0.285472208,247440,246488,No
Jeffrey Cullen,Male,White,CA,52,CA-52,Republican,Challenger,2.4,0,,,,,,6,58.1,35.6,0.285472208,24245,24339,No
John Horst,Male,White,CA,52,CA-52,Republican,Challenger,3.4,0,,,,,,6,58.1,35.6,0.285472208,29234,29771,No
Michael Allman,Male,White,CA,52,CA-52,Republican,Challenger,3.9,0,,,,,,6,58.1,35.6,0.285472208,368795,368795,No
Omar Qudrat,Male,White,CA,52,CA-52,Republican,Challenger,15.3,1,,,36.2,,0,6,58.1,35.6,0.285472208,374504,358605,No
Susan A. Davis,Female,White,CA,53,CA-53,Democrat,Incumbent,64.1,1,,,69.1,,1,14,64.5,29.6,0.320000073,415268,460936,Yes
Matt Mendoza,Male,Non-white,CA,53,CA-53,Republican,Challenger,13.6,0,,,,,,14,64.5,29.6,0.320000073,5840,280,No
Morgan Murtaugh,Female,Non-white,CA,53,CA-53,Republican,Challenger,14.3,1,,,30.9,,0,14,64.5,29.6,0.320000073,94571,79608,No
Brett A. Goda,Male,White,CA,53,CA-53,Republican,Challenger,2,0,,,,,,14,64.5,29.6,0.320000073,2500,2500,No
Shawn Gino Kane,Male,White,CA,53,CA-53,Republican,Challenger,3.7,0,,,,,,14,64.5,29.6,0.320000073,2500,2500,No
Bryan Kim,Male,Non-white,CA,53,CA-53,Third Party,Challenger,2.4,0,,,,,,14,64.5,29.6,0.320000073,33411,32406,No
Saira Rao,Female,Non-white,CO,1,CO-1,Democrat,Challenger,31.76,0,,,,,,21,69,23.2,0.336451875,522906,523077,No
Diana DeGette,Female,White,CO,1,CO-1,Democrat,Incumbent,68.24,1,,,73.81,,1,21,69,23.2,0.336451875,1254313,1157449,Yes
Charles Casper Stockham,Male,Non-white,CO,1,CO-1,Republican,Challenger,100,1,,,23.05,,0,21,69,23.2,0.336451875,34544,34880,No
Joe Neguse,Male,Non-white,CO,2,CO-2,Democrat,Open,65.74,1,,,60.29,,1,9,56.2,34.9,0.181792538,1239171,982921,No
Mark Williams,Male,White,CO,2,CO-2,Democrat,Open,34.26,0,,,,,,9,56.2,34.9,0.181792538,93112,93112,No
Peter Yu,Male,Non-white,CO,2,CO-2,Republican,Open,100,1,,,33.65,,0,9,56.2,34.9,0.181792538,64208,64208,No
Arn Menconi,Male,White,CO,3,CO-3,Democrat,Challenger,8.23,0,,,,,,-6,40,52,0.131376563,2500,2500,No
Diane Mitsch Bush,Female,White,CO,3,CO-3,Democrat,Challenger,64.08,1,,,43.55,,0,-6,40,52,0.131376563,1870567,1845122,Yes
Karl Hanlon,Male,White,CO,3,CO-3,Democrat,Challenger,27.7,0,,,,,,-6,40,52,0.131376563,282033,282033,No
Scott R. Tipton,Male,White,CO,3,CO-3,Republican,Incumbent,100,1,,,51.52,,1,-6,40,52,0.131376563,1586296,1649000,Yes
Chase Kohne,Male,White,CO,4,CO-4,Democrat,Challenger,35.32,0,,,,,,-13,34.3,57.4,0.117291006,118778,119710,No
Karen McCormick,Female,White,CO,4,CO-4,Democrat,Challenger,64.68,1,,,39.89,,0,-13,34.3,57.4,0.117291006,914890,874363,No
Ken Buck,Male,White,CO,4,CO-4,Republican,Incumbent,100,1,,,60.62,,1,-13,34.3,57.4,0.117291006,600863,633422,Yes
Stephany Rose Spaulding,Female,Non-white,CO,5,CO-5,Democrat,Challenger,100,1,,,39.32,,0,-14,33.2,57.2,0.140226355,367702,324655,No
Darryl Glenn,Male,Non-white,CO,5,CO-5,Republican,Challenger,20.38,0,,,,,,-14,33.2,57.2,0.140226355,327517,307715,Yes
Bill Rhea,Male,White,CO,5,CO-5,Republican,Challenger,5.85,0,,,,,,-14,33.2,57.2,0.140226355,107471,99827,No
Doug Lamborn,Male,White,CO,5,CO-5,Republican,Incumbent,52.16,1,,,57.03,,1,-14,33.2,57.2,0.140226355,678946,764865,Yes
Owen Hill,Male,White,CO,5,CO-5,Republican,Challenger,18.16,0,,,,,,-14,33.2,57.2,0.140226355,495360,495360,Yes
Tyler Stevens,Male,White,CO,5,CO-5,Republican,Challenger,3.46,0,,,,,,-14,33.2,57.2,0.140226355,35695,26580,No
Jason Crow,Male,White,CO,6,CO-6,Democrat,Challenger,65.93,1,,,54.1,,1,2,50.2,41.3,0.225786642,5637547,5585285,No
Levi Tillemann,Male,White,CO,6,CO-6,Democrat,Challenger,34.07,0,,,,,,2,50.2,41.3,0.225786642,305669,305669,No
Mike Coffman,Male,White,CO,6,CO-6,Republican,Incumbent,100,1,,,42.87,,0,2,50.2,41.3,0.225786642,3756950,3741283,Yes
Ed Perlmutter,Male,White,CO,7,CO-7,Democrat,Incumbent,100,1,,,60.43,,1,6,51.4,39.4,0.218960626,1741714,1304691,Yes
Mark Barrington,Male,White,CO,7,CO-7,Republican,Challenger,100,1,,,35.42,,0,6,51.4,39.4,0.218960626,54957,54432,No
John Larson,Male,White,CT,1,CT-1,Democrat,Incumbent,100,1,,,60.61,,1,12,59.4,36.3,0.244548445,1602225,1602225,Yes
Jennifer Nye,Female,White,CT,1,CT-1,Republican,Challenger,100,1,,,35.03,,0,12,59.4,36.3,0.244548445,2500,2500,No
Joe Courtney,Male,White,CT,2,CT-2,Democrat,Incumbent,100,1,,,57.99,,1,3,48.7,45.8,0.146116954,1144378,985004,Yes
Danny Postemski Jr,Male,White,CT,2,CT-2,Republican,Challenger,100,1,,,35.45,,0,3,48.7,45.8,0.146116954,2500,2500,No
Rosa L DeLauro,Female,White,CT,3,CT-3,Democrat,Incumbent,100,1,,,60.4,,1,9,55.9,40.4,0.234180608,1277635,1271516,Yes
Angel Cadena,Male,Non-white,CT,3,CT-3,Republican,Challenger,100,1,,,35.4,,0,9,55.9,40.4,0.234180608,2500,2500,No
Jim Himes,Male,White,CT,4,CT-4,Democrat,Incumbent,100,1,,,61.21,,1,7,59.6,36.6,0.280064467,1971391,1626246,Yes
Harry Arora,Male,Non-white,CT,4,CT-4,Republican,Challenger,100,1,,,37.43,,0,7,59.6,36.6,0.280064467,750899,702000,No
Jahana Hayes,Female,Non-white,CT,5,CT-5,Democrat,Open,62.2,1,,,52.8,,1,2,49.9,45.8,0.192046642,1842513,1211318,No
Mary Messina Glassman,Female,White,CT,5,CT-5,Democrat,Open,37.8,0,,,,,,2,49.9,45.8,0.192046642,536553,518946,No
Ruby Corby-O'Neill,Female,Non-white,CT,5,CT-5,Republican,Open,26.6,0,,,,,,2,49.9,45.8,0.192046642,131458,125839,No
Manny Santos,Male,White,CT,5,CT-5,Republican,Open,51.7,1,,,42.54,,0,2,49.9,45.8,0.192046642,75355,74052,No
Richard DuPont,Male,White,CT,5,CT-5,Republican,Open,21.7,0,,,,,,2,49.9,45.8,0.192046642,92331,91869,No
Lisa Blunt Rochester,Female,Non-white,DE,1,DE-AL,Democrat,Incumbent,100,1,,,64.45,,1,6,53.4,41.9,,1302924,1138724,Yes
Lee Murphy,Male,White,DE,1,DE-AL,Republican,Challenger,47,0,,,,,,6,53.4,41.9,,19439,24561,No
Scott Walker,Male,White,DE,1,DE-AL,Republican,Challenger,53,1,,,35.55,,0,6,53.4,41.9,,2500,2500,No
 Jennifer M. Zimmerman,Female,Non-white,FL,1,FL-1,Democrat,Challenger,60.48,1,,,32.94,,0,-22,28.2,67.5,0.092588385,55452,52165,No
 Phil Ehr,Male,White,FL,1,FL-1,Democrat,Challenger,39.52,0,,,,,,-22,28.2,67.5,0.092588385,158671,157249,No
 Cris Dosev,Male,White,FL,1,FL-1,Republican,Challenger,30.24,0,,,,,,-22,28.2,67.5,0.092588385,219856,216456,No
 John Mills,Male,White,FL,1,FL-1,Republican,Challenger,4.96,0,,,,,,-22,28.2,67.5,0.092588385,31214,30864,No
 Matt Gaetz,Male,White,FL,1,FL-1,Republican,Incumbent,64.8,1,,,67.06,,1,-22,28.2,67.5,0.092588385,1209270,1139447,Yes
 Bob Rackleff,Male,White,FL,2,FL-2,Democrat,Challenger,50.79,1,,,32.56,,0,-18,30.6,66.2,0.10789348,259104,256763,No
 Brandon Peters,Male,White,FL,2,FL-2,Democrat,Challenger,49.21,0,,,,,,-18,30.6,66.2,0.10789348,146682,142377,No
 Neal Dunn,Male,White,FL,2,FL-2,Republican,Incumbent,100,1,,,67.44,,1,-18,30.6,66.2,0.10789348,1336320,948210,Yes
 Dushyant Jethagir Gosai,Male,Non-white,FL,3,FL-3,Democrat,Challenger,7.3,0,,,,,,-9,40.2,56.2,0.091150864,21668,15924,No
 Yvonne Hayes Hinson,Female,Non-white,FL,3,FL-3,Democrat,Challenger,59.5,1,,,42.38,,0,-9,40.2,56.2,0.091150864,47262,62700,No
